NAME	CLUSTER	SUB-CLUSTER
LS-15018_S79_E1-50	L5a	L5 ALM Aldh3b1_3
LS-15018_S80_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15018_S81_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15018_S82_E1-50	L5a	L5 ALM Aldh3b1_3
LS-15018_S83_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15018_S84_E1-50	L5a	L5 ALM Arhgap25_2
LS-15018_S85_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15018_S86_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15018_S87_E1-50	L5a	L5 ALM Arhgap25_1
LS-15018_S88_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15018_S89_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15018_S90_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15018_S91_E1-50	L5a	L5 ALM Arhgap25_1
LS-15018_S92_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15018_S93_E1-50	L5a	L5 ALM Aldh3b1_2
LS-15018_S94_E1-50	L5a	L5 ALM Arhgap25_3
LS-15018_S95_E1-50	L5a	L5 ALM Aldh3b1_1
LS-15018_S96_E1-50	L5a	L5 ALM Oprk1
LS-15019_S01_E1-50	Sst	Sst Mrap2_2
LS-15019_S02_E1-50	Pvalb	Pvalb Cnr1 3
LS-15019_S03_E1-50	Sst	Sst Mrap2_2
LS-15019_S04_E1-50	Sst	Sst Syndig1l_2
LS-15019_S05_E1-50	Sst	Sst Myh8_2
LS-15019_S06_E1-50	Sst	Sst Myh8_2
LS-15019_S07_E1-50	Sst	Sst Myh8_4
LS-15019_S08_E1-50	Sst Chodl	Sst Chodl
LS-15019_S09_E1-50	Sst	Sst Myh8_5
LS-15019_S10_E1-50	Sst	Sst Myh8_4
LS-15019_S11_E1-50	Sst	Sst Mrap2_2
LS-15019_S12_E1-50	Sst	Sst Crygs_1
LS-15019_S13_E1-50	Sst	Sst Myh8_3
LS-15019_S14_E1-50	Sst	Sst Myh8_4
LS-15019_S15_E1-50	Sst	Sst Mrap2_1
LS-15019_S16_E1-50	Sst	Sst Crygs_1
LS-15019_S17_E1-50	Sst	Sst Myh8_2
LS-15019_S18_E1-50	Sst	Sst Myh8_2
LS-15019_S19_E1-50	Sst	Sst Mrap2_2
LS-15019_S20_E1-50	Sst	Sst Mrap2_2
LS-15019_S21_E1-50	Sst	Sst Myh8_3
LS-15019_S22_E1-50	Sst	Sst Mrap2_2
LS-15019_S23_E1-50	Sst	Sst Myh8_1
LS-15019_S24_E1-50	Sst	Sst Mrap2_2
LS-15019_S25_E1-50	Sst Chodl	Sst Chodl
LS-15019_S26_E1-50	Sst	Sst Myh8_4
LS-15019_S27_E1-50	Sst	Sst Myh8_4
LS-15019_S28_E1-50	Sst	Sst C1ql3
LS-15019_S29_E1-50	Sst	Sst Myh8_4
LS-15019_S30_E1-50	Pvalb	Pvalb Th
LS-15019_S31_E1-50	Sst	Sst Crygs_1
LS-15019_S32_E1-50	Sst	Sst Myh8_4
LS-15019_S33_E1-50	Sst	Sst Myh8_4
LS-15019_S34_E1-50	Sst	Sst Myh8_5
LS-15019_S35_E1-50	Sst	Sst Myh8_1
LS-15019_S36_E1-50	Sst	Sst C1ql3
LS-15019_S37_E1-50	Sst Chodl	Sst Chodl
LS-15019_S38_E1-50	Sst	Sst Th
LS-15019_S39_E1-50	Sst	Sst Crygs_3
LS-15019_S40_E1-50	Sst	Sst Th
LS-15019_S41_E1-50	Sst	Sst Mrap2_2
LS-15019_S42_E1-50	Sst	Sst Mrap2_3
LS-15019_S43_E1-50	Sst	Sst Mrap2_3
LS-15019_S44_E1-50	Sst	Sst Mrap2_2
LS-15019_S45_E1-50	Sst	Sst Mrap2_2
LS-15019_S46_E1-50	Sst	Sst Mrap2_2
LS-15019_S47_E1-50	Sst	Sst Mrap2_3
LS-15019_S48_E1-50	Sst	Sst Mrap2_3
LS-15019_S49_E1-50	Sst	Sst Mrap2_3
LS-15019_S50_E1-50	Sst	Sst Mrap2_2
LS-15019_S51_E1-50	Sst	Sst Mrap2_2
LS-15019_S52_E1-50	Sst	Sst Mrap2_2
LS-15019_S53_E1-50	Sst	Sst Mrap2_2
LS-15019_S54_E1-50	Sst	Sst Mrap2_3
LS-15019_S55_E1-50	L2-3	L2/3 ALM Agmat
LS-15019_S56_E1-50	Sst	Sst Mrap2_2
LS-15019_S57_E1-50	Vip	Vip Mybpc1_1
LS-15019_S58_E1-50	Vip	Vip Mybpc1_1
LS-15019_S59_E1-50	Vip	Vip Chat_4
LS-15019_S60_E1-50	Vip	Vip Chat_1
LS-15019_S61_E1-50	Vip	Vip Gpc3 2
LS-15019_S62_E1-50	Vip	Vip Sfrp2 1
LS-15019_S63_E1-50	Vip	Vip Mybpc1_1
LS-15019_S64_E1-50	Vip	Vip Chat_3
LS-15019_S73_E1-50	Vip	Vip Lect1
LS-15019_S74_E1-50	Meis2	Meis2
LS-15019_S75_E1-50	Vip	Vip Chat_4
